Date,Price
Dec. 2019,7179.9576886221
Jan. 2020,9388.8807518859
Feb. 2020,8639.5914172977
Mar. 2020,6446.4213468415
Apr. 2020,8767.6726233679
May 2020,9427.6700841394
Jun. 2020,9148.4448585576
Jul. 2020,11373.3172566418
Aug. 2020,11678.3732554192
Sep. 2020,10741.5795494951
Oct. 2020,13891.2168331626
Nov. 2020,19382.3605858664
Dec. 2020,29111.5215671239
